বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
দেশে বেসরকারী মাধ্যমিক বিদ্যালয় মোট কতটি? (৬৩৮টি কলেজিয়েট স্কুলসহ)	উঃ ১৩,৮৬১ টি (বালিকা-২৩১৪টি)			
মোট মাদ্রাসার সংখ্যা মোট কতটি?	উঃ ৯,২১৪ টি।			
মোট সরকারী মাদ্রাসার সংখ্যা মোট কতটি?	উঃ ০৩ টি।			
বাংলাদেশে সরকারী ও বেসরকারী সাধারন কলেজ কতটি? (৬৩৮টি কলেজিয়েট স্কুলসহ)	উঃ ৩,১৫০টি (বালিকা-৬০০টি)			
বাংলাদেশে সরকারী সাধারন কলেজ কতটি?	উঃ ২৫২ টি (বালিকা-৬৪টি)			
বাংলাদেশে বেসরকারী সাধারন কলেজ কতটি?	উঃ ২,৮৯৯ টি (বালিকা-৫৩৬টি)			
বাংলাদেশে সরকারী মেডিকেল কলেজ কতটি?	উঃ ১৫ টি।			
বাংলাদেশে বেসরকারী মেডিকেল কলেজ কতটি?	উঃ ২৭ টি।			
বাংলাদেশে সরকারী ডেন্টাল মেডিকেল কলেজ কতটি?	উঃ ১ টি।			
বাংলাদেশে বেসরকারী ডেন্টাল মেডিকেল কলেজ কতটি?	উঃ ৮ টি।			
বাংলাদেশে সরকারী বিশ্ববিদ্যালয় কয়টি?	উঃ ৩১ টি।			
বাংলাদেশে মেডিকেল বিশ্ববিদ্যালয় কয়টি?	উঃ ১ টি।			
বাংলাদেশে প্রকৌশল বিশ্ববিদ্যালয় কতটি?	উঃ ৫ টি।			
বাংলাদেশে বেসরকারী বিশ্ববিদ্যালয় কতটি?	উঃ ৫১ টি।			
বাংলাদেশে পলিটেকনিক ইনস্টিটিউট কতটি?	উঃ ৭৭ টি।			
বাংলাদেশে আইন কলেজ কতটি? (সবগুলো বেসরকারী)	উঃ ৭০ টি।			
বাংলাদেশে চারুকলা কলেজ কতটি?	উঃ ৭ টি।			
বাংলাদেশে চারুকলা ইনস্টিটিউট কতটি?	উঃ ১ টি।			
বাংলাদেশে নার্সিং কলেজ কতটি?	উঃ ১ টি। (সরকারী)			
বাংলাদেশে নার্সিং ইনস্টিটিউট কতটি?	উঃ ৪৪ টি। (৩৯টি সরকারী)			
বাংলাদেশে ইউনানী/আয়ুর্বেদিক কলেজ কতটি?	উঃ ১৬ টি। (২টি সরকারী)			
বাংলাদেশে লেদার টেকনোলজি কলেজ কতটি?	উঃ ১ টি।			
বাংলাদেশে টেক্সটাইল টেকনোলজি কলেজ কতটি?	উঃ ১ টি।			
বাংলাদেশে টেক্সটাইল টেকনোলজি ইনস্টিটিউট কতটি?	উঃ ৬ টি।			
বাংলাদেশে টেক্সটাইল ভোকেশনাল সেস্টার কতটি?	উঃ ২৮ টি। (সরকারী)			
বাংলাদেশে হোমিওপ্যাথি মেডিকেল কলেজ কতটি?	উঃ ৩০ টি। (১টি সরকারী)			
বাংলাদেশে গার্হস্থ্য অর্থনীতি কলেজ কতটি?	উঃ ১ টি।			
বাংলাদেশে ক্যাডেট কলেজ কতটি?	উঃ ১১ টি। (১০টি বালক ও ১টি বালিকা)			
বাংলাদেশে সমাজকল্যান গবেষণা ইনস্টিটিউট কতটি?	উঃ ১ টি।			
বাংলাদেশে ভোকেশনাল ট্রেনিং ইনস্টিটিউট (ভিটিআই) কতটি?	উঃ ৬৪ টি।			
বাংলাদেশে ভোকেশনাল ট্রেনিং ইনস্টিটিউট এর বর্তমান নাম কি?	উঃ টেকনিক্যাল স্কুল এন্ড কলেজ।			
বাংলাদেশে ভোকেশনাল টিচার্স ট্রেনিং ইনস্টিটিউট কতটি?	উঃ ১ টি। (সরকারী)			
বাংলাদেশে টেকনিক্যার্ল ট্রেনিং সেন্টার (টিটিসি) কতটি?	উঃ ১৩ টি।			
বাংলাদেশে প্রাইমারী টিচার্স ট্রেনিং ইনস্টিটিউট (কতটি?	উঃ ৫৪ টি।			
বাংলাদেশে বেসরকারী টিচার্স ট্রেনিং কলেজ কতটি?	উঃ ৮৫ টি।			
বাংলাদেশে সরকারী টিচার্স ট্রেনিং কলেজ (টিটিসি) কতটি?	উঃ ১৪ টি। (১৩টি কো. এডু এবং ১টি মহিলা)			
বাংলাদেশে উচ্চ মাধ্যমিক টিচার্স ট্রেনিং ইনস্টিটিউট (এইচএসটিটিআই) কতটি?	উঃ ৫ টি। (সবগুলো সরকারী)			
বাংলাদেশে মাদ্রাসা শিক্ষা ট্রেনিং ইনস্টিটিউট কতটি?	উঃ ১ টি । (সরকারী)			
বাংলাদেশে টেকনিক্যাল টিচার্স ট্রেনিং কলেজ (টিটিটিসি) কতটি?	উঃ ১ টি । (সরকারী)			
বাংলাদেশে শারিরিক শিক্ষা কলেজ কতটি?	উঃ ২৭টি। (৪টি সরকারী)			
বাংলাদেশের বানিজ্যিক কলেজ কতটি?	উঃ ১৬ টি। (সরকারী)			
বাংলাদেশের সংগীত শিক্ষা কলেজ কতটি?	উঃ ২ টি। (সব সরকারী)			
বাংলাদেশের গস্নাস এন্ড সিরামিক ইনস্টিটিউট কতটি ও কোথায়?	উঃ ১ টি। (সরকারী), ঢাকায়।			
বাংলাদেশে গ্রাফিক্স আর্টস ইনস্টিটিউট কতটি ও কোথায়?	উঃ ১ টি। ঢাকায়।			
বাংলাদেশে এগ্রিকালটারাল ইনস্টিটিউট কতটি?	উঃ ৫৯ টি। (১২টি সরকারী)।			
বাংলাদেশে সার্ভে ইনস্টিটিউট কতটি?	উঃ ২টি (সরকারী)।			
বাংলাদেশে মিলিটারী একাডেমী কতটি ও কোথায়?	উঃ ১ টি। চট্ট্রগ্রামের ভাটিয়ারীতে।			
